Date,Region,Product,Revenue,Cost,Salesperson,Profit,Profit Margin (%)
2020-02-24 20:37:59.759519038,South,Product A,2995.95,3328.47,Cynthia Bell,-332.52,-11.1
2020-02-25 14:11:18.156312625,East,Product A,4857.6,3760.61,Lisa Taylor,1096.99,22.58
2020-02-26 07:44:36.553106212,West,Product A,3772.35,3766.81,Stephen Jennings,5.54,0.15
2020-02-27 01:17:54.949899799,West,Product C,1567.61,3653.12,Keith Brady,-2085.51,-133.04
2020-02-27 18:51:13.346693387,East,Product A,1999.01,1755.07,Laura Johnston,243.94,12.2
2020-02-28 12:24:31.743486974,North,Product D,3875.33,3180.95,Regina Duarte,694.38,17.92
2020-02-29 05:57:50.140280561,North,Product D,825.5,2055.27,Daniel Friedman,-1229.77,-148.97
2020-02-29 23:31:08.537074148,West,Product A,771.13,717.16,Robin Johnson,53.97,7.0
2020-03-01 17:04:26.933867735,East,Product B,2472.46,3502.03,Kirk Freeman,-1029.57,-41.64
2020-03-02 10:37:45.330661322,North,Product D,4288.46,879.23,Michelle Rodriguez,3409.23,79.5
2020-03-03 04:11:03.727454910,East,Product A,2442.62,1341.55,Betty Hoffman,1101.07,45.08
2020-03-03 21:44:22.124248497,East,Product B,808.79,1142.15,Jennifer Hicks,-333.36,-41.22
2020-03-04 15:17:40.521042084,East,Product C,4597.35,572.1,Terry Cox,4025.25,87.56
2020-03-05 08:50:58.917835671,North,Product A,2047.76,610.55,Sarah Watson,1437.21,70.18
2020-03-06 02:24:17.314629258,East,Product C,4400.17,432.84,Meghan Henry,3967.33,90.16
2020-03-06 19:57:35.711422845,East,Product D,4295.43,981.63,Emily Brown,3313.8,77.15
2020-03-07 13:30:54.108216433,South,Product A,4718.51,3533.07,Mark Martinez,1185.44,25.12
2020-03-08 07:04:12.505010020,North,Product D,1616.31,1378.34,Anthony Green,237.97,14.72
2020-03-09 00:37:30.901803607,West,Product C,4136.7,482.27,William Sutton,3654.43,88.34
2020-03-09 18:10:49.298597194,South,Product D,2350.51,2502.37,Elizabeth Lopez,-151.86,-6.46
2020-03-10 11:44:07.695390781,South,Product C,4020.31,3193.9,Miss Tammy Wheeler,826.41,20.56
2020-03-11 05:17:26.092184368,West,Product B,4060.41,3536.8,John Shepard,523.61,12.9
2020-03-11 22:50:44.488977956,South,Product D,4936.55,1471.14,Miranda Franco,3465.41,70.2
2020-03-12 16:24:02.885771543,South,Product C,3801.25,3506.37,Tammie Moreno,294.88,7.76
2020-03-13 09:57:21.282565130,South,Product C,3045.02,2341.95,Elizabeth Kim,703.07,23.09
2020-03-14 03:30:39.679358717,West,Product D,3734.34,3850.97,Alan Moore,-116.63,-3.12
2020-03-14 21:03:58.076152304,South,Product A,3763.94,2944.13,Stephanie Hansen,819.81,21.78
2020-03-15 14:37:16.472945892,North,Product C,1329.24,2223.91,Sarah Alvarado,-894.67,-67.31
2020-03-16 08:10:34.869739479,South,Product A,2446.62,1209.84,Charles Berger,1236.78,50.55
2020-03-17 01:43:53.266533066,West,Product D,4787.13,311.8,Nancy Marsh,4475.33,93.49
2020-03-17 19:17:11.663326653,East,Product D,3380.92,501.26,Colin Washington,2879.66,85.17
2020-03-18 12:50:30.060120240,West,Product C,2033.48,1950.7,Terri Mclaughlin,82.78,4.07
2020-03-19 06:23:48.456913827,South,Product A,4120.8,3716.91,Kimberly Ross,403.89,9.8
2020-03-19 23:57:06.853707415,North,Product D,2733.57,440.76,Kellie Chang,2292.81,83.88
2020-03-20 17:30:25.250501002,West,Product A,3912.05,1942.56,Robert Rodriguez,1969.49,50.34
2020-03-21 11:03:43.647294589,East,Product A,4922.47,3108.96,Anna Clark,1813.51,36.84
2020-03-22 04:37:02.044088176,South,Product C,3403.2,3782.99,Anthony Curry,-379.79,-11.16
2020-03-22 22:10:20.440881763,West,Product A,1362.21,710.73,Phillip James,651.48,47.83
2020-03-23 15:43:38.837675350,West,Product B,3240.11,442.21,Anthony Lucero,2797.9,86.35
2020-03-24 09:16:57.234468938,West,Product B,3072.16,1612.51,Michael Fox,1459.65,47.51
2020-03-25 02:50:15.631262525,East,Product C,1549.61,709.2,Michael Preston,840.41,54.23
2020-03-25 20:23:34.028056112,South,Product D,2097.02,2954.0,Michael Peterson,-856.98,-40.87
2020-03-26 13:56:52.424849699,West,Product B,2656.47,1289.4,Diane Taylor,1367.07,51.46
2020-03-27 07:30:10.821643286,North,Product A,1605.32,2573.89,Kelli Weaver,-968.57,-60.34
2020-03-28 01:03:29.218436873,North,Product D,4436.91,2889.62,Mrs. Cheryl Wilson,1547.29,34.87
2020-03-28 18:36:47.615230461,North,Product D,2399.16,1766.73,Jeremy Hall,632.43,26.36
2020-03-29 12:10:06.012024048,North,Product B,1084.23,886.06,Ashley Bradford,198.17,18.28
2020-03-30 05:43:24.408817635,West,Product A,4646.51,703.52,Whitney Graham,3942.99,84.86
2020-03-30 23:16:42.805611222,West,Product B,593.29,2245.35,Joshua Bell,-1652.06,-278.46
2020-03-31 16:50:01.202404809,West,Product D,1638.32,1425.82,Elizabeth Kirby,212.5,12.97
2020-04-01 10:23:19.599198396,East,Product D,4929.83,885.98,Andrew Salazar,4043.85,82.03
2020-04-02 03:56:37.995991984,West,Product A,2707.92,2605.66,Jeffrey Martinez,102.26,3.78
2020-04-02 21:29:56.392785571,North,Product B,3693.41,1200.05,Michelle Brown,2493.36,67.51
2020-04-03 15:03:14.789579158,South,Product C,1954.55,2291.16,Alvin Perez,-336.61,-17.22
2020-04-04 08:36:33.186372745,East,Product B,589.68,2967.62,Elizabeth Clark,-2377.94,-403.26
2020-04-05 02:09:51.583166332,North,Product D,3026.32,3859.78,Jordan Harris,-833.46,-27.54
2020-04-05 19:43:09.979959920,West,Product A,2168.33,2627.88,David Crawford,-459.55,-21.19
2020-04-06 13:16:28.376753507,East,Product B,751.67,652.65,Kenneth Schmitt,99.02,13.17
2020-04-07 06:49:46.773547094,South,Product D,2119.72,721.13,Linda Taylor,1398.59,65.98
2020-04-08 00:23:05.170340681,East,Product B,2187.87,512.04,Michael Knapp,1675.83,76.6
2020-04-08 17:56:23.567134268,South,Product B,2848.23,361.26,Ronnie Carter,2486.97,87.32
2020-04-09 11:29:41.963927855,South,Product D,4117.61,846.78,Joseph Harding,3270.83,79.44
2020-04-10 05:03:00.360721443,South,Product D,4753.52,1273.41,Gregory Hughes,3480.11,73.21
2020-04-10 22:36:18.757515030,East,Product A,2324.4,1635.8,Ryan Werner,688.6,29.62
2020-04-11 16:09:37.154308617,West,Product C,2620.79,622.56,Daniel Johnson,1998.23,76.25
2020-04-12 09:42:55.551102204,East,Product D,1383.21,2982.85,Edward Chaney,-1599.64,-115.65
2020-04-13 03:16:13.947895791,East,Product B,852.35,2546.44,Lori Brown,-1694.09,-198.76
2020-04-13 20:49:32.344689378,West,Product D,2465.52,2657.8,Angela Anderson,-192.28,-7.8
2020-04-14 14:22:50.741482966,North,Product C,2239.51,1895.64,John Roberts,343.87,15.35
2020-04-15 07:56:09.138276552,West,Product D,1237.15,1363.05,Sabrina Fleming,-125.9,-10.18
2020-04-16 01:29:27.535070140,North,Product C,2276.98,401.3,Kelly Warren,1875.68,82.38
2020-04-16 19:02:45.931863728,South,Product D,3400.82,2980.78,Paul Villarreal,420.04,12.35
2020-04-17 12:36:04.328657314,North,Product C,4851.11,3068.51,Mark Schultz,1782.6,36.75
2020-04-18 06:09:22.725450902,East,Product B,2686.08,2507.58,Amanda Huynh,178.5,6.65
2020-04-18 23:42:41.122244488,South,Product D,2824.58,2897.72,Kristine Ortiz,-73.14,-2.59
2020-04-19 17:15:59.519038076,North,Product A,3051.33,2644.77,Karen Ramirez,406.56,13.32
2020-04-20 10:49:17.915831662,East,Product C,829.85,2587.33,Paul Warren,-1757.48,-211.78
2020-04-21 04:22:36.312625250,West,Product B,3053.5,1950.05,Theresa Wilson,1103.45,36.14
2020-04-21 21:55:54.709418838,South,Product B,818.77,649.04,Paul Miller,169.73,20.73
2020-04-22 15:29:13.106212424,West,Product C,2764.29,1192.04,Donald English,1572.25,56.88
2020-04-23 09:02:31.503006012,South,Product C,4679.39,3260.31,David Mills,1419.08,30.33
2020-04-24 02:35:49.899799598,South,Product C,1412.59,1120.88,Joshua Sanchez,291.71,20.65
2020-04-24 20:09:08.296593186,West,Product A,3363.34,3110.19,Ashley Cook,253.15,7.53
2020-04-25 13:42:26.693386774,West,Product C,3564.28,1221.34,Mr. Matthew Newman MD,2342.94,65.73
2020-04-26 07:15:45.090180360,East,Product A,747.68,947.85,Lisa Warren,-200.17,-26.77
2020-04-27 00:49:03.486973948,East,Product C,2328.21,1753.25,Pamela Lyons,574.96,24.7
2020-04-27 18:22:21.883767534,South,Product C,4075.95,3464.31,Heidi Burton,611.64,15.01
2020-04-28 11:55:40.280561122,South,Product A,1276.73,2781.95,Crystal Guerrero,-1505.22,-117.9
2020-04-29 05:28:58.677354710,East,Product B,4490.82,2235.67,Samantha Wolf,2255.15,50.22
2020-04-29 23:02:17.074148296,East,Product A,2164.65,561.12,Tyler Stuart,1603.53,74.08
2020-04-30 16:35:35.470941884,South,Product D,1237.78,618.67,Michael Russell,619.11,50.02
2020-05-01 10:08:53.867735470,West,Product A,3716.64,1706.53,Sandra Brown,2010.11,54.08
2020-05-02 03:42:12.264529058,South,Product A,3962.83,2836.74,Michelle Phillips,1126.09,28.42
2020-05-02 21:15:30.661322644,West,Product A,2939.52,783.75,Scott Freeman,2155.77,73.34
2020-05-03 14:48:49.058116232,West,Product B,3527.92,3484.28,Mary Guzman,43.64,1.24
2020-05-04 08:22:07.454909820,North,Product B,1581.15,1237.56,Anthony Stevens,343.59,21.73
2020-05-05 01:55:25.851703406,West,Product C,4495.39,2309.21,Amy Martinez,2186.18,48.63
2020-05-05 19:28:44.248496994,West,Product C,2195.18,2358.18,Paul Martinez,-163.0,-7.43
2020-05-06 13:02:02.645290580,East,Product A,852.77,1090.49,Kevin Shaffer,-237.72,-27.88
2020-05-07 06:35:21.042084168,West,Product A,1148.73,1104.28,James Martinez,44.45,3.87
2020-05-08 00:08:39.438877756,East,Product B,1378.47,2737.86,Ashlee Powell,-1359.39,-98.62
2020-05-08 17:41:57.835671342,South,Product C,1287.9,3634.23,Michele Peters,-2346.33,-182.18
2020-05-09 11:15:16.232464930,East,Product A,4637.06,2236.78,Mary Jones,2400.28,51.76
2020-05-10 04:48:34.629258516,East,Product D,1394.32,2818.93,Megan Thompson,-1424.61,-102.17
2020-05-10 22:21:53.026052104,North,Product B,670.17,1394.39,Philip Mcdonald,-724.22,-108.07
2020-05-11 15:55:11.422845690,South,Product C,2593.32,3483.11,Richard Fuller,-889.79,-34.31
2020-05-12 09:28:29.819639278,East,Product A,2211.08,2655.99,Justin Smith,-444.91,-20.12
2020-05-13 03:01:48.216432866,South,Product A,3083.03,2370.86,Amber Morris,712.17,23.1
2020-05-13 20:35:06.613226452,North,Product A,4221.6,706.92,Francis Lee,3514.68,83.25
2020-05-14 14:08:25.010020040,South,Product D,1595.43,1560.36,Michelle Crawford,35.07,2.2
2020-05-15 07:41:43.406813626,North,Product C,4515.08,3378.57,Gregory Hinton,1136.51,25.17
2020-05-16 01:15:01.803607214,South,Product A,752.66,1790.06,Andrea Hernandez,-1037.4,-137.83
2020-05-16 18:48:20.200400802,North,Product B,4743.31,628.63,Adam Williams,4114.68,86.75
2020-05-17 12:21:38.597194388,North,Product A,703.67,1753.68,Dana Hernandez,-1050.01,-149.22
2020-05-18 05:54:56.993987976,East,Product D,1448.7,918.28,Sara Lopez,530.42,36.61
2020-05-18 23:28:15.390781562,West,Product C,4673.58,669.29,Gary Mcmahon,4004.29,85.68
2020-05-19 17:01:33.787575150,North,Product C,4913.31,3019.4,Robert Kerr,1893.91,38.55
2020-05-20 10:34:52.184368736,South,Product C,1877.9,1305.36,Kathleen Davidson,572.54,30.49
2020-05-21 04:08:10.581162324,South,Product D,3286.5,3214.12,Edward Mccoy,72.38,2.2
2020-05-21 21:41:28.977955912,South,Product C,2016.09,1543.02,Erik Gomez,473.07,23.46
2020-05-22 15:14:47.374749498,North,Product D,929.78,2199.44,Rodney Day,-1269.66,-136.55
2020-05-23 08:48:05.771543086,West,Product B,3501.87,3108.73,Sophia Robinson,393.14,11.23
2020-05-24 02:21:24.168336672,South,Product B,3413.24,431.84,Michael Reese,2981.4,87.35
2020-05-24 19:54:42.565130260,East,Product D,2136.12,2789.06,Heather Oconnor,-652.94,-30.57
2020-05-25 13:28:00.961923848,South,Product B,4466.18,2043.53,William Cruz,2422.65,54.24
2020-05-26 07:01:19.358717434,West,Product B,2617.42,2817.36,Adriana Palmer,-199.94,-7.64
2020-05-27 00:34:37.755511022,West,Product B,1972.25,564.55,Anthony Ward,1407.7,71.38
2020-05-27 18:07:56.152304608,East,Product B,4097.75,2670.67,Steven Steele,1427.08,34.83
2020-05-28 11:41:14.549098196,West,Product A,2034.1,1263.1,Michael Stevenson,771.0,37.9
2020-05-29 05:14:32.945891784,West,Product D,3459.17,2639.94,Anita Stevens,819.23,23.68
2020-05-29 22:47:51.342685370,North,Product C,2023.96,2368.94,Dwayne Deleon,-344.98,-17.04
2020-05-30 16:21:09.739478958,North,Product C,1826.86,2619.38,Andrew Reed,-792.52,-43.38
2020-05-31 09:54:28.136272544,West,Product D,1231.32,3347.63,Mr. Edwin Johnson,-2116.31,-171.87
2020-06-01 03:27:46.533066132,North,Product D,3957.5,2449.51,Nicholas Townsend,1507.99,38.1
2020-06-01 21:01:04.929859718,East,Product A,1092.3,1236.28,Kimberly Simmons,-143.98,-13.18
2020-06-02 14:34:23.326653306,North,Product C,3419.98,2789.22,James Cabrera,630.76,18.44
2020-06-03 08:07:41.723446894,East,Product B,577.34,3459.18,Allison Archer,-2881.84,-499.16
2020-06-04 01:41:00.120240480,West,Product A,2742.71,565.56,Collin Smith,2177.15,79.38
2020-06-04 19:14:18.517034068,South,Product B,3019.7,2549.71,Luke Black,469.99,15.56
2020-06-05 12:47:36.913827654,South,Product C,950.47,3022.34,Bradley Mills,-2071.87,-217.98
2020-06-06 06:20:55.310621242,North,Product C,3381.03,3327.65,Paul Payne,53.38,1.58
2020-06-06 23:54:13.707414830,East,Product C,1401.85,1639.27,Sherry Pitts,-237.42,-16.94
2020-06-07 17:27:32.104208416,North,Product D,3422.87,2941.59,Rhonda Martinez,481.28,14.06
2020-06-08 11:00:50.501002004,South,Product C,3272.64,1952.88,Kathryn Hill,1319.76,40.33
2020-06-09 04:34:08.897795590,East,Product B,1337.59,574.2,Glenda Pham,763.39,57.07
2020-06-09 22:07:27.294589178,West,Product B,2269.63,3855.47,Nathan Boone,-1585.84,-69.87
2020-06-10 15:40:45.691382764,North,Product A,3332.84,547.47,Dwayne Collins,2785.37,83.57
2020-06-11 09:14:04.088176352,North,Product C,841.08,1478.86,Wayne Jones,-637.78,-75.83
2020-06-12 02:47:22.484969940,East,Product A,4603.49,1243.16,Mason Nguyen,3360.33,73.0
2020-06-12 20:20:40.881763526,North,Product A,4246.82,2099.11,Christopher Washington,2147.71,50.57
2020-06-13 13:53:59.278557114,West,Product A,4508.01,3299.94,Gloria Edwards,1208.07,26.8
2020-06-14 07:27:17.675350700,South,Product A,1519.86,1224.17,Raymond Schmidt,295.69,19.46
2020-06-15 01:00:36.072144288,South,Product A,867.23,2901.78,Tina Riddle,-2034.55,-234.6
2020-06-15 18:33:54.468937876,West,Product A,4156.17,1805.26,Lisa Brown,2350.91,56.56
2020-06-16 12:07:12.865731462,South,Product D,4963.7,1814.82,Jacob Short,3148.88,63.44
2020-06-17 05:40:31.262525050,East,Product C,3729.1,3236.12,Johnathan Daugherty,492.98,13.22
2020-06-17 23:13:49.659318636,North,Product B,2187.2,462.14,Eric Williams,1725.06,78.87
2020-06-18 16:47:08.056112224,West,Product C,2078.84,514.33,Timothy Anderson MD,1564.51,75.26
2020-06-19 10:20:26.452905812,South,Product D,4991.51,2293.64,Erica Evans,2697.87,54.05
2020-06-20 03:53:44.849699398,East,Product B,848.03,2058.15,Johnathan Allen,-1210.12,-142.7
2020-06-20 21:27:03.246492986,South,Product B,2319.26,679.22,Heather Taylor,1640.04,70.71
2020-06-21 15:00:21.643286572,East,Product D,4083.82,1530.74,Christina Johnson,2553.08,62.52
2020-06-22 08:33:40.040080160,East,Product C,2709.46,2055.22,Jennifer Fox,654.24,24.15
2020-06-23 02:06:58.436873746,South,Product D,3260.65,720.11,Jeffrey Banks,2540.54,77.92
2020-06-23 19:40:16.833667334,West,Product D,1242.46,1111.52,Taylor Flynn,130.94,10.54
2020-06-24 13:13:35.230460922,South,Product C,1895.11,1057.39,Michael White,837.72,44.2
2020-06-25 06:46:53.627254508,East,Product A,2200.79,2700.64,Marc Acosta,-499.85,-22.71
2020-06-26 00:20:12.024048096,North,Product B,4546.33,2098.25,Daniel Johnson,2448.08,53.85
2020-06-26 17:53:30.420841682,South,Product C,3871.85,3696.76,Amanda Wu,175.09,4.52
2020-06-27 11:26:48.817635270,South,Product C,2544.89,1899.68,Natasha Price,645.21,25.35
2020-06-28 05:00:07.214428858,East,Product B,893.34,2145.45,Lauren Taylor,-1252.11,-140.16
2020-06-28 22:33:25.611222444,East,Product D,3675.55,2554.1,Sean Franklin,1121.45,30.51
2020-06-29 16:06:44.008016032,South,Product B,631.81,313.31,Jesus Campbell,318.5,50.41
2020-06-30 09:40:02.404809618,West,Product B,2273.47,3207.44,Darren Holmes,-933.97,-41.08
2020-07-01 03:13:20.801603206,North,Product B,2191.47,2613.62,Raymond Adkins,-422.15,-19.26
2020-07-01 20:46:39.198396792,East,Product B,4522.68,660.22,Oscar Hughes,3862.46,85.4
2020-07-02 14:19:57.595190380,West,Product D,3597.6,879.73,Alexander Green,2717.87,75.55
2020-07-03 07:53:15.991983968,East,Product C,2503.69,2415.6,Gerald Wright,88.09,3.52
2020-07-04 01:26:34.388777554,South,Product A,1094.25,3309.29,Kyle Turner,-2215.04,-202.43
2020-07-04 18:59:52.785571142,North,Product C,4165.48,3830.77,Brett Foster,334.71,8.04
2020-07-05 12:33:11.182364728,West,Product A,3546.48,3148.96,Peter Jones,397.52,11.21
2020-07-06 06:06:29.579158316,South,Product B,2179.0,1408.93,Eric Mitchell,770.07,35.34
2020-07-06 23:39:47.975951904,North,Product B,947.92,326.87,Caitlin Newman,621.05,65.52
2020-07-07 17:13:06.372745490,South,Product C,3090.03,381.14,Matthew Austin,2708.89,87.67
2020-07-08 10:46:24.769539078,North,Product A,2130.69,2212.12,Kathleen Robinson,-81.43,-3.82
2020-07-09 04:19:43.166332664,West,Product B,576.49,3383.65,Gloria Nelson,-2807.16,-486.94
2020-07-09 21:53:01.563126252,North,Product D,1631.94,3499.07,Catherine Rodriguez,-1867.13,-114.41
2020-07-10 15:26:19.959919840,North,Product C,4452.38,3714.49,Nathan Dennis,737.89,16.57
2020-07-11 08:59:38.356713426,East,Product A,1186.25,3214.31,Troy Rogers,-2028.06,-170.96
2020-07-12 02:32:56.753507014,South,Product B,1845.58,802.1,Cheryl Jones,1043.48,56.54
2020-07-12 20:06:15.150300600,South,Product C,1724.34,787.31,Tracy Dixon,937.03,54.34
2020-07-13 13:39:33.547094188,East,Product D,1157.72,3172.07,Andrew Thompson,-2014.35,-173.99
2020-07-14 07:12:51.943887774,North,Product B,3381.11,2717.65,Tracy Meyer,663.46,19.62
2020-07-15 00:46:10.340681362,West,Product D,985.4,1951.92,Brandon Ortiz,-966.52,-98.08
2020-07-15 18:19:28.737474950,North,Product C,1125.21,1625.08,Andrew Silva,-499.87,-44.42
2020-07-16 11:52:47.134268536,South,Product C,3735.57,3967.14,Robert Jackson,-231.57,-6.2
2020-07-17 05:26:05.531062124,East,Product B,4115.41,3365.73,Danielle Bennett,749.68,18.22
2020-07-17 22:59:23.927855710,North,Product D,3353.94,377.44,Stephen Davis,2976.5,88.75
2020-07-18 16:32:42.324649298,West,Product B,4419.72,3375.52,Daniel Vargas DVM,1044.2,23.63
2020-07-19 10:06:00.721442886,North,Product A,1678.73,1972.47,Amy Rivera,-293.74,-17.5
2020-07-20 03:39:19.118236472,West,Product B,3624.56,1352.18,Kyle Garcia,2272.38,62.69
2020-07-20 21:12:37.515030060,South,Product D,4200.22,513.4,Richard Brewer,3686.82,87.78
